s01a - 0.02 s, expanded 504 states
s01b - 0.01 s, expanded 99 states
s01c - 0.11 s, expanded 2901 states
s02a - 0.06 s, expanded 1378 states
s02b - 0.03 s, expanded 703 states
s02c - 0.22 s, expanded 4819 states
s03a - 0.09 s, expanded 2199 states
s03b - 0.30 s, expanded 6606 states
s03c - 0.12 s, expanded 2804 states
s04a - 0.85 s, expanded 19135 states
s04b - 0.07 s, expanded 1317 states
s04c - 0.01 s, expanded 142 states
s05a - 0.04 s, expanded 945 states
s05b - 0.12 s, expanded 2589 states
s05c - 0.39 s, expanded 8657 states

s06a - 0.00 s, expanded 88 states
s06b - 0.00 s, expanded 44 states
s06c - 0.00 s, expanded 89 states
s07a - 0.92 s, expanded 22443 states
s07b - 9.47 s, expanded 222485 states
s07c - 0.93 s, expanded 18421 states
s08a - 0.34 s, expanded 7379 states
s08b - 0.47 s, expanded 12688 states
s08c - 0.53 s, expanded 10646 states
s09a - 1.06 s, expanded 21395 states
s09b - 4.59 s, expanded 101131 states
s09c - 25.36 s, expanded 520171 states
s10a - 0.08 s, expanded 2009 states
s10b - 0.03 s, expanded 659 states
s10c - 0.01 s, expanded 308 states
s11a - 1.77 s, expanded 39956 states
s11b - 1.37 s, expanded 26458 states
s11c - 0.38 s, expanded 7822 states

s12a - 0.08 s, expanded 1775 states
s12b - 0.24 s, expanded 5741 states
s12c - 0.06 s, expanded 1416 states
s13a - 0.01 s, expanded 225 states
s13b - 0.01 s, expanded 281 states
s13c - 0.00 s, expanded 73 states
s14a - 0.14 s, expanded 3272 states
s14b - 0.05 s, expanded 1093 states
s14c - 0.12 s, expanded 3025 states
s15a - 0.64 s, expanded 15560 states
s15b - 0.62 s, expanded 15227 states
s15c - 2.17 s, expanded 47822 states
s16 - 0.40 s, expanded 8970 states
