s01a - 0.00s, expanded 56 states, 17 backtracks, max depth=32
s01b - 0.00s, expanded 20 states, 0 backtracks, max depth=0
s01c - 0.00s, expanded 182 states, 136 backtracks, max depth=36
s02a - 0.01s, expanded 320 states, 269 backtracks, max depth=39
s02b - 0.01s, expanded 353 states, 303 backtracks, max depth=46
s02c - 0.00s, expanded 186 states, 139 backtracks, max depth=44
s03a - 0.00s, expanded 199 states, 152 backtracks, max depth=41
s03b - 0.06s, expanded 2129 states, 2075 backtracks, max depth=50
s03c - 0.00s, expanded 164 states, 116 backtracks, max depth=45
s04a - 0.21s, expanded 8788 states, 8734 backtracks, max depth=46
s04b - 0.01s, expanded 441 states, 389 backtracks, max depth=39
s04c - 0.11s, expanded 5296 states, 5243 backtracks, max depth=49
s05a - 0.02s, expanded 820 states, 768 backtracks, max depth=47
s05b - 0.09s, expanded 4045 states, 3991 backtracks, max depth=51
s05c - 0.00s, expanded 168 states, 117 backtracks, max depth=48

s06a - 0.00s, expanded 24 states, 5 backtracks, max depth=16
s06b - 0.00s, expanded 8 states, 0 backtracks, max depth=0
s06c - 0.00s, expanded 28 states, 1 backtracks, max depth=24
s07a - 0.00s, expanded 240 states, 188 backtracks, max depth=45
s07b - 0.01s, expanded 419 states, 371 backtracks, max depth=43
s07c - 0.00s, expanded 102 states, 53 backtracks, max depth=28
s08a - 0.16s, expanded 6407 states, 6347 backtracks, max depth=55
s08b - 0.19s, expanded 9131 states, 9075 backtracks, max depth=47
s08c - 0.13s, expanded 4712 states, 4656 backtracks, max depth=49
s09a - 0.07s, expanded 2859 states, 2800 backtracks, max depth=51
s09b - 0.05s, expanded 2003 states, 1943 backtracks, max depth=55
s09c - 0.60s, expanded 28678 states, 28618 backtracks, max depth=56
s10a - 0.00s, expanded 140 states, 95 backtracks, max depth=29
s10b - 0.00s, expanded 74 states, 31 backtracks, max depth=34
s10c - 0.00s, expanded 224 states, 179 backtracks, max depth=37
s11a - 0.02s, expanded 752 states, 699 backtracks, max depth=50
s11b - 0.01s, expanded 170 states, 116 backtracks, max depth=46
s11c - 0.07s, expanded 3120 states, 3066 backtracks, max depth=45

s12a - 2.98s, expanded 140816 states, 140756 backtracks, max depth=46
s12b - 0.00s, expanded 192 states, 136 backtracks, max depth=51
s12c - 1.39s, expanded 64103 states, 64044 backtracks, max depth=56
s13a - 0.00s, expanded 118 states, 75 backtracks, max depth=39
s13b - 0.00s, expanded 50 states, 7 backtracks, max depth=28
s13c - 0.00s, expanded 40 states, 3 backtracks, max depth=28
s14a - 0.03s, expanded 1191 states, 1143 backtracks, max depth=39
s14b - 0.04s, expanded 1498 states, 1451 backtracks, max depth=43
s14c - 0.03s, expanded 1272 states, 1223 backtracks, max depth=46
s15a - 0.01s, expanded 443 states, 390 backtracks, max depth=39
s15b - 0.02s, expanded 829 states, 774 backtracks, max depth=48
s15c - 0.03s, expanded 1087 states, 1031 backtracks, max depth=52
s16 - 0.64s, expanded 24225 states, 24166 backtracks, max depth=56
