s01a - 0.01 s, expanded 319 states
s01b - 0.00 s, expanded 72 states
s01c - 0.00 s, expanded 101 states
s02a - 0.02 s, expanded 488 states
s02b - 0.06 s, expanded 1257 states
s02c - 0.01 s, expanded 191 states
s03a - 0.02 s, expanded 435 states
s03b - 0.48 s, expanded 10445 states
s03c - 0.02 s, expanded 386 states
s04a - 0.05 s, expanded 990 states
s04b - 0.21 s, expanded 4278 states
s04c - 0.02 s, expanded 462 states
s05a - 0.03 s, expanded 624 states
s05b - 0.40 s, expanded 8477 states
s05c - 0.05 s, expanded 1007 states

s06a - 0.00 s, expanded 78 states
s06b - 0.00 s, expanded 44 states
s06c - 0.00 s, expanded 57 states
s07a - 0.07 s, expanded 1674 states
s07b - 1.10 s, expanded 23646 states
s07c - 0.01 s, expanded 303 states
s08a - 1.16 s, expanded 25568 states
s08b - 0.65 s, expanded 15752 states
s08c - 0.31 s, expanded 6101 states
s09a - 1.11 s, expanded 24525 states
s09b - 0.82 s, expanded 19109 states
s09c - 3.85 s, expanded 86899 states
s10a - 0.01 s, expanded 112 states
s10b - 0.00 s, expanded 93 states
s10c - 0.00 s, expanded 74 states
s11a - 0.04 s, expanded 839 states
s11b - 0.72 s, expanded 16560 states
s11c - 0.14 s, expanded 2611 states

s12a - 1.48 s, expanded 31274 states
s12b - 0.15 s, expanded 2504 states
s12c - 3.77 s, expanded 82520 states
s13a - 0.00 s, expanded 86 states
s13b - 0.00 s, expanded 56 states
s13c - 0.01 s, expanded 178 states
s14a - 0.09 s, expanded 1677 states
s14b - 0.11 s, expanded 2022 states
s14c - 0.17 s, expanded 3200 states
s15a - 0.09 s, expanded 1764 states
s15b - 1.77 s, expanded 36445 states
s15c - 0.31 s, expanded 6333 states
s16 - 0.47 s, expanded 8970 states
